chat_id,n_turns,a_hat_full,a_hat_t5,delta_t5,a_hat_t8,delta_t8,a_hat_t10,delta_t10,a_hat_t12,delta_t12,a_hat_t15,delta_t15,a_hat_t20,delta_t20,a_hat_t25,delta_t25,a_hat_t30,delta_t30,a_hat_t40,delta_t40,a_hat_t50,delta_t50,first_stable_t,mal_mean
c0143,24,0.43374931276846335,0.874999998758012,0.4412506859895487,0.6947046145140618,0.2609553017455985,0.6370938502021072,0.20334453743364383,0.6314435546627012,0.19769424189423784,0.6072129109030137,0.1734635981345503,0.46288576213956706,0.029136449371103712,,,,,,,,,20.0,0.0
c0144,21,0.5197151863179607,0.874999998758012,0.3552848124400514,0.7816622903668331,0.26194710404887245,0.7790072468042419,0.2592920604862813,0.7295895899528659,0.20987440363490528,0.6364471045021755,0.1167319181842148,0.5379680013018746,0.018252814983913956,,,,,,,,,20.0,0.0
c0145,38,0.31538334209625846,0.874999998758012,0.5596166566617535,0.8543946320408772,0.5390112899446187,0.8517358410842241,0.5363524989879656,0.8411052620940823,0.5257219199978238,0.7680302168819603,0.4526468747857018,0.6001471819063864,0.28476383981012793,0.46011595377896397,0.14473261168270551,0.39796179849110386,0.0825784563948454,,,,,30.0,0.0
c0146,18,0.569087645956632,0.874999998758012,0.30591235280138007,0.7898350548764554,0.22074740891982347,0.7126186120614908,0.14353096610485883,0.676129397987876,0.107041752031244,0.6069354385261287,0.037847792569496774,,,,,,,,,,,15.0,0.0
c0147,31,0.3949335863762624,0.874999998758012,0.48006641238174963,0.7860943147971386,0.39116072842087624,0.6949093242539279,0.2999757378776655,0.6227206949952587,0.22778710861899631,0.5636632515741733,0.16872966519791088,0.4733257142519,0.0783921278756376,0.4421073588725409,0.047173772496278465,0.39423760802843677,0.0006959783478256432,,,,,20.0,0.0
c0148,19,0.4845128815513142,0.874999998758012,0.3904871172066978,0.8200564541708775,0.33554357261956325,0.7096123575547478,0.2250994760034336,0.6564335446128092,0.171920663061495,0.5677840956738784,0.08327121412256422,,,,,,,,,,,15.0,0.0
c0149,17,0.6210794714692611,0.874999998758012,0.2539205272887509,0.7832805751530133,0.16220110368375218,0.7206374123181433,0.09955794084888214,0.6294499412895967,0.008370469820335624,0.5955267634835217,0.025552707985739387,,,,,,,,,,,10.0,0.0
c0150,19,0.633057606908593,0.874999998758012,0.24194239184941901,0.7860549195925212,0.15299731268392813,0.7632910105859855,0.13023340367739245,0.7492347269045995,0.11617711999600644,0.7234885591073749,0.09043095219878183,,,,,,,,,,,15.0,0.0
c0151,65,0.132179419551633,0.7621045059349519,0.6299250863833189,0.8261956015364118,0.6940161819847788,0.8330937251600652,0.7009143056084322,0.8469543713693626,0.7147749518177295,0.8606832707506189,0.7285038511989859,0.46327400946471853,0.3310945899130855,0.3179268714242657,0.18574745187263267,0.2675242777567214,0.13534485820508838,0.18643606322916226,0.05425664367752925,0.16110934689092027,0.02892992733928726,40.0,0.0
c0152,74,0.15983239242060004,0.874999998758012,0.7151676063374119,0.8834986814725619,0.7236662890519618,0.804330008038561,0.6444976156179609,0.6592869738370674,0.4994545814164673,0.5247855373290898,0.3649531449084898,0.38988825660370263,0.2300558641831026,0.34009411788312877,0.18026172546252872,0.29011475397330394,0.1302823615527039,0.24221551893018117,0.08238312650958113,0.20543479672416246,0.04560240430356241,40.0,0.0
c0153,19,0.4424462106092112,0.874999998758012,0.43255378814880086,0.8271320100609807,0.3846857994517695,0.7532851958174787,0.31083898520826747,0.6750693039642413,0.23262309335503006,0.5282442996688493,0.08579808905963815,,,,,,,,,,,15.0,0.0
c0154,52,0.25104288196821106,0.874999998758012,0.623957116789801,0.7382506018932415,0.4872077199250305,0.6194254233622528,0.36838254139404175,0.5406645892007536,0.2896217072325425,0.4954930887332244,0.24445020676501333,0.44664579749397004,0.19560291552575898,0.38216996743617077,0.1311270854679597,0.3524090977681777,0.10136621579996663,0.28125259482267945,0.030209712854468385,0.2535067798613533,0.0024638978931422195,40.0,0.5384615384615384
c0155,46,0.307615865463522,0.874999998758012,0.56738413329449,0.6689382087853059,0.36132234332178387,0.5864093924016313,0.27879352693810927,0.5509595169416482,0.24334365147812625,0.5081881198333529,0.2005722543698309,0.46835692610245294,0.16074106063893095,0.4257389438062221,0.11812307834270014,0.4022249098192225,0.0946090443557005,0.33740137085467237,0.02978550539115038,,,30.0,0.0
c0156,17,0.604019760731853,0.874999998758012,0.270980238026159,0.8043485579972152,0.20032879726536212,0.7709533733332676,0.1669336126014146,0.7657772335632708,0.16175747283141773,0.6700228186043894,0.06600305787253635,,,,,,,,,,,15.0,0.0
