PK_Nr,Sortierklasse,A_cm2,sigma_max,E_mod,n_points,a_hat,k_hat,rmse,method,force_col_header,strain_col_header,QC_flag,grade,density_kg_m3,moisture_pct,failure_mode,grain_angle_class,clamping_pressure,grade_m,outlier_ahat
428,s 10,5.03838,29.42076193451566,14.704816748675062,1498,0.6173944025724022,10.348557924837042,0.0751626402169245,sigmoid,Kraft [kN],e_sensor,1,S10,403.41254125353026,10.609034557912127,Zug-/Schubversagen an Ästen,<12,80 bar,S10,0
430,s 10,5.16805,61.14462826283607,13.774726176978763,3092,0.5216840476079921,5.89293387963742,0.0654532815804625,sigmoid,Kraft [kN],e_sensor,1,S10,452.78596878786135,10.968792855324242,Zug-/Schubversagen im Einspannbereich,<7,100 bar,S10,0
436,s 10,5.2863,46.986520581503136,13.74948719480566,2980,0.5353929456659373,6.652440347175484,0.0675113927498392,sigmoid,Kraft [kN],e_sensor,1,S10,366.3604053449601,10.462362175546708,Schubversagen,<12,80 bar,S10,0
439,s 10,5.0184,54.11433191480352,15.900849859788146,2820,0.5297942447024694,6.28837148728048,0.0691309304854567,sigmoid,Kraft [kN],e_sensor,1,S10,413.4845693774496,11.233816807548587,Zug-/Schubversagen an Ästen,<12,80 bar,S10,0
444,s 10,5.043991,38.39644601368242,13.2239407344871,1993,0.5649917527303906,7.775965045800844,0.0790349047496949,sigmoid,Kraft [kN],e_sensor,1,S10,386.7896046601006,11.199266063513697,Schubversagen,<7,80 bar,S10,0
445,s 10,5.233596,43.93114994451234,13.888368500110882,2582,0.5452693920951911,6.7841661645311415,0.0721100327617282,sigmoid,Kraft [kN],e_sensor,1,S10,376.0428951316168,10.91469332965374,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
446,s 10,5.192512,41.09221440533022,13.814385286192788,2093,0.5520797397622493,7.275079955655152,0.0798370576323947,sigmoid,Kraft [kN],e_sensor,1,S10,351.5463130552203,16.809319878079354,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
448,s 10,5.041269,47.92116748654952,15.27078561269488,2700,0.5395560696117637,6.536830215460338,0.0682843472452972,sigmoid,Kraft [kN],e_sensor,1,S10,375.287940121017,11.206835752368525,Zug-/Schubversagen im Einspannbereich,<12,80 bar,S10,0
456,s 10,5.296896,29.70841650999472,14.37025701061949,1592,0.6069244444694211,10.09194530154953,0.086455152706933,sigmoid,Kraft [kN],e_sensor,1,S10,403.03669994771576,10.662094318149157,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
461,s 10,5.04596,49.16748993254009,12.327918417932135,3137,0.5389057943443801,6.521200291737808,0.0673445863658911,sigmoid,Kraft [kN],e_sensor,1,S10,404.4362391824881,11.288275676778566,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
465,s 10,5.076191999999999,50.14996277598445,11.96792179593548,2682,0.5355062113544024,6.457183470912143,0.0711740847930059,sigmoid,Kraft [kN],e_sensor,1,S10,368.599000776655,11.050939093778002,Zug-/Schubversagen im Einspannbereich,<12,80 bar,S10,0
475,s 10,5.1577020000000005,40.018011231067625,10.152421493543134,2147,0.5572467036996125,7.37617551550324,0.0790491322511334,sigmoid,Kraft [kN],e_sensor,1,S10,395.0715851087389,10.32091101475621,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
484,s 10,5.184512000000001,39.35855531701923,10.62569340176256,2036,0.5591343652953097,7.500634427817058,0.081974303073258,sigmoid,Kraft [kN],e_sensor,1,S10,369.7240047675515,13.869441052100234,Zug-/Schubversagen an Ästen,<7,80 bar,S10,0
