sequence,n_events,a_hat,k,R2,max_mag,max_mag_pos,total_energy_log
seq_180,13,0.48208443713485866,12.07123890359473,0.9737970504175495,3.9,0.5,11.032811210219196
seq_181,18,0.7044627686644616,18.963274200559226,0.9524900718983851,4.0,0.7647058823529411,11.084984593613372
seq_182,36,0.5677300877632536,5.680885449778393,0.9451648194191603,3.92,0.6857142857142857,11.235524512042419
seq_183,8,0.6010966493632943,99.99999985012396,0.9998460131694447,6.1,0.7142857142857143,13.975055291040192
seq_184,8,0.37936534635412844,23.341638581696277,0.9695774208392601,4.5,0.0,11.565113901487738
seq_185,14,0.28948687483393315,53.37600043613291,0.99014231618323,3.97,0.3076923076923077,10.960713575134038
seq_186,9,0.4780658051489069,7.706873714451836,0.9896341911738,3.6,0.0,10.727300778710504
seq_187,8,0.7298324685746095,5.433070940167875,0.9047622355310734,3.2,1.0,9.95522169574469
seq_188,9,0.8953040829069995,99.99999141094767,0.9856199134456837,4.5,1.0,11.603542119055552
seq_189,14,0.3397331209148981,7.902317335876646,0.9672072390410271,3.61,0.46153846153846156,10.684466261130162
seq_190,21,0.6778523375126837,65.88330491017497,0.9754295703847823,4.6,0.7,11.870273907446252
seq_191,14,0.5665269235898351,9.967859197649357,0.9650659832992435,3.72,0.6923076923076923,10.705621013753039
seq_192,8,0.6428730426067539,7.74408060055209,0.965320438256837,3.3,0.5714285714285714,10.223212025991176
seq_193,9,0.21030512702866955,56.2277301938602,0.9905023117029959,4.0,0.25,10.905754020045947
seq_194,13,0.22440689323640167,71.06421229092791,0.9544429071449961,4.0,0.25,10.950231979341439
seq_195,8,0.4772048408342554,46.604783584389615,0.9997833817158698,4.0,0.5714285714285714,10.85604372213183
seq_196,9,0.43297174683338835,6.975508388033247,0.9747127453299536,5.0,0.5,12.714569366516704
seq_197,8,0.31902200643852235,8.214816962753382,0.9556849094691192,4.8,0.2857142857142857,12.33416152987833
seq_198,35,0.6368257160777826,4.378972775554867,0.9222628231849629,3.91,0.9705882352941176,11.294746668027338
seq_199,9,0.4408852964098203,31.535351937604048,0.9937600706314194,3.7,0.5,10.512290377780724
seq_200,10,0.28970520693969715,3.478020454114667,0.7758528114664927,3.6,0.1111111111111111,10.550504664717337
seq_201,15,0.26261547186834167,74.06187121793967,0.9918717095728886,5.8,0.2857142857142857,13.611323512174684
seq_202,13,0.5216384103690402,5.059723553955075,0.8886702977918807,4.0,0.75,11.137980840265588
seq_203,10,0.6132806015642109,56.228348225402655,0.9952840381146592,4.0,0.6666666666666666,10.875189892554902
seq_204,21,0.5716759711007636,4.905107935602414,0.7897586019097742,3.9,0.75,10.926267503154062
seq_205,8,0.7585801222209198,45.90955076945428,0.995747027984162,4.03,0.8571428571428571,10.92968230528437
seq_206,11,0.255368489429523,4.71157382337615,0.8890867243448158,3.7,0.0,10.760911113283854
seq_207,8,0.887111394781961,37.45587308808787,0.7964339308529347,5.2,1.0,12.726173516811382
seq_208,8,0.22072751963203982,9.423669377432407,0.9263151367364275,4.1,0.14285714285714285,11.269997736772375
seq_209,9,0.48531998009823274,6.068329774769721,0.9872158630169715,2.9,0.625,9.79576716557604
seq_210,8,0.3623045533300262,20.810583553741807,0.977334453247269,5.0,0.42857142857142855,12.523993752529657
seq_211,33,0.22300784883399094,88.51006237704313,0.9960960522027092,4.7,0.25,12.149416832474225
seq_212,25,0.15247451901916745,64.80408480906966,0.8978779551236789,3.95,0.16666666666666666,10.974939617253618
seq_213,8,0.5429315727826723,4.950466571858515,0.9523500227304311,2.89,0.0,9.797509703585925
seq_214,8,0.6159816026617765,22.192831455842637,0.9603838858863022,5.0,0.7142857142857143,12.474837705958079
seq_215,9,0.7888430853073227,5.150255036347059,0.8167660434177743,5.7,0.0,13.46438144445092
seq_216,9,0.19049851053873487,54.3605472904199,0.9926672273404229,4.62,0.25,11.786071454622949
seq_217,13,0.6186983256911692,4.3869491737145045,0.8755891606938654,5.6,0.0,13.333343537202177
seq_218,27,0.5347561584551026,5.837843635526269,0.9339018396336004,6.7,0.0,14.855371955950957
seq_219,22,0.6711818231792828,4.878963916217362,0.9665316963978404,3.32,1.0,10.542287419410032
seq_220,8,0.4682881455340435,5.123499501609181,0.9649726060683257,3.0,0.14285714285714285,10.02258915247162
seq_221,8,0.5487908969681233,6.517153465480291,0.9828679652408475,5.2,0.0,12.705881215567848
seq_222,8,0.33548378473055884,10.19454178308007,0.9694981028618832,4.8,0.2857142857142857,12.52827182040584
