specimen_id	outcome	a_hat_paper	n_points	logistic_aic	logistic_bic	logistic_r2	logistic_inflection	logistic_success	gompertz_aic	gompertz_bic	gompertz_r2	gompertz_inflection	gompertz_success	weibull_aic	weibull_bic	weibull_r2	weibull_inflection	weibull_success	hill_aic	hill_bic	hill_r2	hill_inflection	hill_success
T_100_C_2_039_095_05	271.291495142471		500	-1888.4059482553926	-1879.9767320585481	0.98248173898087	0.030038997852983796	True	-2006.8460642869304	-1998.416848090086	0.9861765891724319	0.0224253705950884	True	-2002.66543280667	-1994.2362166098255	0.9860605234476542	0.018787911196439265	True	-2157.2315813078644	-2148.80236511102	0.9897672582216525	0.01609887302469648	True
T_100_C_3_040_051_06	271.450873256742		500	-1866.1701008102152	-1857.7408846133708	0.9697426283375701	0.025238259710709605	True	-1956.069070676043	-1947.6398544791987	0.9747218115732347	0.01772147062385409	True	-1969.8270176335009	-1961.3978014366564	0.9754078813269322	0.007927412727326172	True	-2214.6931433126606	-2206.2639271158164	0.9849301846294918	0.009248730411949742	True
T_100_D_1_041_072_06	263.604579125519		389	-1543.4886040834726	-1535.5614453962357	0.9838254695021412	0.029533169172845705	True	-1702.1316959854078	-1694.2045372981709	0.9892423733892045	0.020586018614515315	True	-1759.4621018822836	-1751.5349431950467	0.9907165242404352	0.008635639328348977	True	-1856.477978927565	-1848.550820240328	0.9927656690752971	0.011384759158099653	True
T_100_D_2_042_073_07	264.757089651222		396	-1563.8819030860482	-1555.9190746635393	0.9824108497939884	0.03411399361081921	True	-1655.1062969658824	-1647.1434685433735	0.9860299239735862	0.024396280191303788	True	-1643.800209177967	-1635.837380755458	0.9856253197621715	0.014951394811134562	True	-1746.7546345071185	-1738.7918060846096	0.9889162239769804	0.015650760318545592	True
T_100_D_3_043_074_08	271.657851543928		487	-1960.0928438034007	-1951.7163155572355	0.9838382734793668	0.02831874298355882	True	-2142.454626482343	-2134.078098236178	0.9888862133979913	0.0196580888647989	True	-2184.08285326299	-2175.706325016825	0.9897967380442083	0.008209588554178552	True	-2254.449875551171	-2246.073347305006	0.991169455625933	0.011105937760579249	True
T_100_E_1_044_084_06	253.493165069991		448	-1614.0541066126216	-1605.8445201477916	0.9833735043901475	0.028823132842002858	True	-1839.0844390485863	-1830.8748525837564	0.9899386867811717	0.019666634812072828	True	-2033.9673619341347	-2025.7577754693048	0.9934877099373075	0.0023739873807154	True	-2015.988708541146	-2007.779122076316	0.9932210508775031	0.008237141343027977	True
T_100_E_2_045_087_07	250.46657626376		406	-1685.987739326943	-1677.9750330077395	0.9868252218130623	0.03287519255651652	True	-1839.2870718558302	-1831.2743655366266	0.9909684889010913	0.023045754938383282	True	-1845.7603665292656	-1837.7476602100621	0.9911113461070038	0.01177114054235788	True	-1839.8897731982147	-1831.8770668790112	0.9909818861070204	0.0142088502220567	True
T_100_E_3_046_088_08	251.402613069041		429	-1743.1543338219392	-1735.0314199840832	0.9871137781778103	0.033096609196129605	True	-1915.4723675927644	-1907.3494537549084	0.9913765526754015	0.02353224149848039	True	-1934.223484403315	-1926.100570565459	0.9917453553535167	0.01365949440213098	True	-1937.1781098856077	-1929.0551960477517	0.9918020117361458	0.01503053967196013	True
T_100_F_1_047_120_27	293.397949120819		500	-1874.1631861848584	-1865.733969988014	0.966810702648085	0.021302419594618253	True	-1948.5367639419585	-1940.107547745114	0.9713978954861776	0.01508993508803438	True	-1954.1210319493998	-1945.6918157525554	0.9717155618842035	0.007960968327997921	True	-2156.9279809101718	-2148.4987647133275	0.9811465133382677	0.008067825544249799	True
T_100_G_1_051_126_28	275.464486634296		419	-1968.7028546358558	-1960.6271127960115	0.9879175264667961	0.032411108683204806	True	-1940.2928095777443	-1932.2170677379	0.9870698688254633	0.020589728773598073	True	-1725.0444892056494	-1716.968747365805	0.9783873351306157	0.003787916110218267	True	-1615.568562480465	-1607.4928206406207	0.9719340095010338	0.010981802724547412	True
